title,date,author_for_reference,pdf_url
A Common Frame for Formal Imagination,2019-10-19,Joan Casas Roma,https://repository.falmouth.ac.uk/3547/4/preview.jpg
A Common Frame for Formal Imagination,2019-10-19,Joan Casas Roma,https://repository.falmouth.ac.uk/3547/5/medium.jpg
A Common Frame for Formal Imagination,2019-10-19,Joan Casas Roma,https://repository.falmouth.ac.uk/3547/6/small.jpg
The Foresight Saga,2019-10-19,Rupert Loydell,https://repository.falmouth.ac.uk/3455/1/The%20Foresight%20Saga.docx
The Foresight Saga,2019-10-19,Rupert Loydell,https://repository.falmouth.ac.uk/3455/2/indexcodes.txt
You Couldn't Make It Up,2019-10-19,Rupert Loydell,https://repository.falmouth.ac.uk/3432/1/YOU%20COULDNT%20MAKE%20IT%20UP.Loydell.docx
You Couldn't Make It Up,2019-10-19,Rupert Loydell,https://repository.falmouth.ac.uk/3432/2/indexcodes.txt
The Anatomy of Place,2019-10-17,Dinu Li,https://repository.falmouth.ac.uk/3594/1/Dinu%20Li%20Nation%20Family%20%40%20Look%2019.tiff
The Anatomy of Place,2019-10-17,Dinu Li,https://repository.falmouth.ac.uk/3594/2/lightbox.jpg
The Anatomy of Place,2019-10-17,Dinu Li,https://repository.falmouth.ac.uk/3594/3/preview.jpg
The Anatomy of Place,2019-10-17,Dinu Li,https://repository.falmouth.ac.uk/3594/4/medium.jpg
The Anatomy of Place,2019-10-17,Dinu Li,https://repository.falmouth.ac.uk/3594/5/small.jpg
SpaceChem,2019-10-17,Michael Scott,https://repository.falmouth.ac.uk/3378/1/SpaceChem_accepted.pdf
SpaceChem,2019-10-17,Michael Scott,https://repository.falmouth.ac.uk/3378/2/lightbox.jpg
SpaceChem,2019-10-17,Michael Scott,https://repository.falmouth.ac.uk/3378/3/preview.jpg
SpaceChem,2019-10-17,Michael Scott,https://repository.falmouth.ac.uk/3378/4/medium.jpg
SpaceChem,2019-10-17,Michael Scott,https://repository.falmouth.ac.uk/3378/5/small.jpg
SpaceChem,2019-10-17,Michael Scott,https://repository.falmouth.ac.uk/3378/6/indexcodes.txt
